startgps,_startgps_latitude,_startgps_longitude,_startgps_altitude,_startgps_precision,supervisor,supe_other,enumerator,enum_other,enumdate,region,district,ward,village,consent,agrodealer_name,hhgps,_hhgps_latitude,_hhgps_longitude,_hhgps_altitude,_hhgps_precision,hhgpsloc,hhgpsloco,phone,p1/p1_stock,p1/p1_brand,p1/p1_size,p1/p1_price,p2/p2_stock,p2/p2_brand,p2/p2_size,p2/p2_price,p3/p3_type,p3/p3_brand,p3/p3_size,p3/p3_price,p4/p4_stock,p4/p4_brand,p4/p4_size,p4/p4_price,p5/p5_stock,p5/p5_size,p5/p5_price,mkt1/yrsinbus,mkt1/neighbors,mkt1/stocksrc,mkt2/beiknown,mkt2/beienf,mkt2/beieffects,g_df/commentf,meta/instanceID,meta/instanceName,_id,_uuid,_submission_time,_date_modified,_tags,_notes,_version,_duration,_submitted_by,_total_media,_media_count,_media_all_received,_xform_id
-3.3698509 36.6828484 1384.0999755859375 19.389,-3.3698509,36.6828484,1384.0999755859375,19.389,s1,n/a,e01,n/a,2024-08-24T13:44:00.000+03:00,Arusha,Arusha_City,n/a,Levolosi,1,Neema,-3.3699568 36.6826666 1387.699951171875 4.786,-3.3699568,36.6826666,1387.699951171875,4.786,1,n/a,0753501577,1,"ETG, MOP-72,500 50kg",3,55000,1,Yara,3,114000,1,CAN,3,92000,0,n/a,2,0,0,2,17000,3,15,Arusha,n/a,n/a,n/a,Used to sell. Prices before Ruzuku was introduced by government.,uuid:6df5b380-5e00-420d-a54c-b94c57062339,TZA_prices_2024-2024-08-24-e01,152087894,6df5b380-5e00-420d-a54c-b94c57062339,2024-08-24T10:58:34.641653+00:00,2024-08-24T10:58:34.773898+00:00,,,1,,,0,0,True,817551
-3.3733208 36.6839675 1376.199951171875 10.513,-3.3733208,36.6839675,1376.199951171875,10.513,s1,n/a,e01,n/a,2024-08-24T14:30:00.000+03:00,Arusha,Arusha_City,n/a,Makao mapya,1,Eriki,-3.3702372 36.6827121 1387.199951171875 4.481,-3.3702372,36.6827121,1387.199951171875,4.481,1,n/a,0700000000,0,n/a,2,0,0,n/a,2,0,0,n/a,2,0,1,Rhino lime 20 kg bag,2,8000,1,2,0,5,0,"""Arusha""",n/a,n/a,n/a,Hardware. 20kg lime 8000,uuid:38124f09-de98-444d-b94b-bf1ad4c732f9,TZA_prices_2024-2024-08-24-e01,152093979,38124f09-de98-444d-b94b-bf1ad4c732f9,2024-08-24T11:40:56.265813+00:00,2024-08-24T11:40:56.364130+00:00,,,1,,,0,0,True,817551
-3.9957984 35.7830029 979.5999755859375 9.381,-3.9957984,35.7830029,979.5999755859375,9.381,s1,n/a,e01,n/a,2024-08-25T12:56:00.000+03:00,Manyara,Babati_DC,Magugu,Magugu,1,Joan,-3.9958492 35.7829575 989.209228515625 4.932,-3.9958492,35.7829575,989.209228515625,4.932,1,n/a,0755856166,1,"ETG,MO,YARA,MINJINGU= 46 nitrogen",3,65115,1,Minjingu DAAP plus,3,67000,1,CAN,3,60000,0,n/a,2,0,1,3,17500,7,6,"Moshi, Arusha, Minjingu company - Babati",n/a,n/a,n/a,"CAN 5kg = 10,000 not under subsidy scheme. 
Farmers ask about lime but limited knowledge on lime. Seller gives SA instead of lime.
SA 50kg = 45,000
winner-Yara 50kg=75000
Microp mbogamboga 50kg=75000
YaraOtesha 50kg=75000
Access to fertiliser by small agro dealer is a problem. Low profit with the subsidy problem.",uuid:0966e0d2-979a-407a-bd59-c7478e4d2765,TZA_prices_2024-2024-08-25-e01,152172334,0966e0d2-979a-407a-bd59-c7478e4d2765,2024-08-25T11:17:16.447720+00:00,2024-08-25T11:17:16.590367+00:00,,,1,,,0,0,True,817551
-3.9998858 35.7764988 986.7999877929688 7.325,-3.9998858,35.7764988,986.7999877929688,7.325,s1,n/a,e01,n/a,2024-08-25T13:39:00.000+03:00,Manyara,Babati_DC,Magugu,Magugu,1,Lakshman,-3.9998021 35.7765039 986.7999877929688 4.791,-3.9998021,35.7765039,986.7999877929688,4.791,1,n/a,0687080888,1,n/a,3,53000,0,n/a,2,0,0,n/a,2,0,0,n/a,2,0,1,2,0,4,4,Arusha,n/a,n/a,n/a,"Used to sell urea before subsidy program.
Access to fertiliser is a problem for most farmers.",uuid:54dba73d-e911-4556-b9ae-d845fbfe863c,TZA_prices_2024-2024-08-25-e01,152172335,54dba73d-e911-4556-b9ae-d845fbfe863c,2024-08-25T11:17:16.940989+00:00,2024-08-25T11:17:17.032198+00:00,,,1,,,0,0,True,817551
-4.000516 35.7795732 986.7999877929688 6.401,-4.000516,35.7795732,986.7999877929688,6.401,s1,n/a,e01,n/a,2024-08-25T13:52:00.000+03:00,Manyara,Babati_DC,Magugu,Magugu,1,Neema,-4.0004585 35.7795877 988.922119140625 4.754,-4.0004585,35.7795877,988.922119140625,4.754,1,n/a,0693476817,1,MO,3,65000,1,Minjingu,3,65000,1,CAN,3,65000,0,n/a,2,0,1,3,18000,3,3,"Babati, Arusha",n/a,n/a,n/a,"Before subsidy program 
Urea 50kg =40,000",uuid:e9b73e60-e0ae-4e41-968f-08a68036a921,TZA_prices_2024-2024-08-25-e01,152172337,e9b73e60-e0ae-4e41-968f-08a68036a921,2024-08-25T11:17:17.381180+00:00,2024-08-25T11:17:17.482636+00:00,,,1,,,0,0,True,817551
-4.2118819 35.7475219 1326.4000244140625 21.604,-4.2118819,35.7475219,1326.4000244140625,21.604,s1,n/a,e01,n/a,2024-08-25T15:33:00.000+03:00,Manyara,Babati_DC,Magara,Osterbey,1,Manka john,-4.2118481 35.7475947 1324.5 4.926,-4.2118481,35.7475947,1324.5,4.926,1,n/a,0755577278,1,"Minjingu, ETG, OCP, MO",3,64788,1,n/a,3,75115,1,CAAN plus,3,59867,0,n/a,2,0,1,3,18000,10,15,"Minjingu, Arusha, Dar es Salaam",n/a,n/a,n/a,"5kg Urea - 10, 000
5kg DAp - 10,000

Farmers ask about lime, but does not know where to purchase.",uuid:b46dcebd-c412-4613-8d4d-208f37e31451,TZA_prices_2024-2024-08-25-e01,152179572,b46dcebd-c412-4613-8d4d-208f37e31451,2024-08-25T13:21:52.119727+00:00,2024-08-25T13:21:52.228694+00:00,,,1,,,0,0,True,817551
-4.2086036 35.7486667 1324.2999267578125 11.615,-4.2086036,35.7486667,1324.2999267578125,11.615,s1,n/a,e01,n/a,2024-08-25T15:57:00.000+03:00,Manyara,Babati_TC,Bagala,Mji mpya,1,Emmanuel valerian,-4.2086117 35.7486822 1329.0494384765625 4.392,-4.2086117,35.7486822,1329.0494384765625,4.392,1,n/a,0626331212,1,ETG,3,65000,1,ETG,3,70000,1,SA,3,45000,0,n/a,2,0,1,3,18000,4,17,Arusha,n/a,n/a,n/a,"5kg Urea - 7000

Used to sell before subsidy program. The prices are for that time period.

TFA sells lime, but shop is closed.",uuid:14db2d19-0ce5-47a0-b1b6-e3998086a497,TZA_prices_2024-2024-08-25-e01,152179574,14db2d19-0ce5-47a0-b1b6-e3998086a497,2024-08-25T13:21:52.644740+00:00,2024-08-25T13:21:52.757608+00:00,,,1,,,0,0,True,817551
-4.2110682 35.7480399 1324.699951171875 26.908,-4.2110682,35.7480399,1324.699951171875,26.908,s1,n/a,e01,n/a,2024-08-25T15:18:00.000+03:00,Manyara,Babati_TC,Osterbai,Stendi ya zamani,1,Melania Peter,-4.2110359 35.747911 1328.0782470703125 4.716,-4.2110359,35.747911,1328.0782470703125,4.716,1,n/a,0789818135,1,"ETG, Yara, Minjingu",3,105000,1,Falcon,3,80000,1,CAN,3,68000,0,n/a,2,0,0,2,0,4,10,Babati,n/a,n/a,n/a,"5kg Urea - 10,000

Used to sell before subsidy program.",uuid:495acb29-0e96-46de-ae9a-10d95fcb9226,TZA_prices_2024-2024-08-25-e01,152179576,495acb29-0e96-46de-ae9a-10d95fcb9226,2024-08-25T13:21:53.141576+00:00,2024-08-25T13:21:53.237207+00:00,,,1,,,0,0,True,817551
-4.9068141 35.7883204 1344.4622802734375 22.454,-4.9068141,35.7883204,1344.4622802734375,22.454,s1,n/a,e01,n/a,2024-08-25T17:42:00.000+03:00,Dodoma,Kondoa_TC,n/a,Chemchem,1,Freddie Nandi,-4.9068419 35.7881657 1355.0518798828125 4.781,-4.9068419,35.7881657,1355.0518798828125,4.781,1,n/a,0628756434,1,YARA,3,74000,1,TFC,3,74000,0,n/a,2,0,0,n/a,2,0,1,3,19000,2,3,Not Sure,n/a,n/a,n/a,Subsidised prices.,uuid:977aee18-b669-4776-8e7e-35de08dbfbd5,TZA_prices_2024-2024-08-25-e01,152197376,977aee18-b669-4776-8e7e-35de08dbfbd5,2024-08-25T21:40:30.548902+00:00,2024-08-25T21:40:30.654425+00:00,,,1,,,0,0,True,817551
-4.9058966 35.7858711 1354.7255859375 18.342,-4.9058966,35.7858711,1354.7255859375,18.342,s1,n/a,e01,n/a,2024-08-25T17:58:00.000+03:00,Dodoma,Kondoa_TC,Chemchem,Chemchem,1,Makunga,-4.9059193 35.7858714 1354.2821044921875 4.615,-4.9059193,35.7858714,1354.2821044921875,4.615,1,n/a,0757404298,1,Falcon,3,60000,1,Falcon,3,60000,1,CAN Falcon,3,55000,0,n/a,2,0,1,3,19000,10,9,Arusha,n/a,n/a,n/a,"5kg Urea - 8000
25kg Urea - 30,000

Prices before Subsidies.",uuid:ce8249c1-2c41-4b01-a6a0-ff280fe59619,TZA_prices_2024-2024-08-25-e01,152197377,ce8249c1-2c41-4b01-a6a0-ff280fe59619,2024-08-25T21:40:31.075756+00:00,2024-08-25T21:40:31.167107+00:00,,,1,,,0,0,True,817551
-5.2417731 35.8893116 1213.3741455078125 14.525,-5.2417731,35.8893116,1213.3741455078125,14.525,s1,n/a,e01,n/a,2024-08-25T19:02:00.000+03:00,Dodoma,Chemba_DC,Chemba,Kariakor,1,Maro wambura,-5.2419067 35.8893076 1234.6605224609375 4.405,-5.2419067,35.8893076,1234.6605224609375,4.405,1,n/a,0783683322,1,YARA,3,70000,1,Yara,3,69000,0,n/a,2,0,0,n/a,2,0,1,3,20000,3,3,Dodoma,n/a,n/a,n/a,"Subsidised prices 

Did not sell before Subsidies program.",uuid:e5bde2b3-2cc6-4978-9523-bb325cf03a25,TZA_prices_2024-2024-08-25-e01,152197378,e5bde2b3-2cc6-4978-9523-bb325cf03a25,2024-08-25T21:40:31.581327+00:00,2024-08-25T21:40:31.672846+00:00,,,1,,,0,0,True,817551
-6.1790646 35.7417791 1113.0999755859375 19.765,-6.1790646,35.7417791,1113.0999755859375,19.765,s1,n/a,e01,n/a,2024-08-26T08:47:00.000+03:00,Dodoma,Dodoma_MC,Majengo,Majengo,1,Shukurani Yohana,-6.179092 35.7416375 1112.5 4.957,-6.179092,35.7416375,1112.5,4.957,1,n/a,0754014403,1,ETG,3,120000,1,n/a,3,100000,0,n/a,2,0,0,n/a,2,0,1,3,18000,4,6,Morogoro,n/a,n/a,n/a,Fertilizer Prices before subsidy program.,uuid:6f9e8b04-cda4-4e1a-bdb1-6124634ed154,TZA_prices_2024-2024-08-26-e01,152229730,6f9e8b04-cda4-4e1a-bdb1-6124634ed154,2024-08-26T07:25:19.042945+00:00,2024-08-26T07:25:19.155356+00:00,,,1,,,0,0,True,817551
-6.1791644 35.7413551 1113.9000244140625 8.568,-6.1791644,35.7413551,1113.9000244140625,8.568,s1,n/a,e01,n/a,2024-08-26T08:54:00.000+03:00,Dodoma,Dodoma_MC,Majengo,Majengo,1,Nehemiah Joseph,-6.1791434 35.7413819 1114.0 4.887,-6.1791434,35.7413819,1114.0,4.887,1,n/a,0745168518,1,Minjingu,3,70000,1,FOMI,3,70000,0,n/a,2,0,0,n/a,2,0,0,2,0,5,5,Not sure,n/a,n/a,n/a,Subsidised prices,uuid:ec2ace13-a62b-4e0e-93e6-1c348c864c9e,TZA_prices_2024-2024-08-26-e01,152229734,ec2ace13-a62b-4e0e-93e6-1c348c864c9e,2024-08-26T07:25:19.550928+00:00,2024-08-26T07:25:19.642502+00:00,,,1,,,0,0,True,817551
-6.1800788 35.7431125 1113.5999755859375 31.296,-6.1800788,35.7431125,1113.5999755859375,31.296,s1,n/a,e01,n/a,2024-08-26T09:08:00.000+03:00,Dodoma,Dodoma_MC,Madukani,Barbara kumi na mbili,1,Fatuma,-6.1799647 35.7433372 1113.5999755859375 4.554,-6.1799647,35.7433372,1113.5999755859375,4.554,1,n/a,0719747974,1,Yara,3,55000,1,Yara,3,55000,1,"CAN, NPK",3,55000,1,n/a,3,20000,0,2,0,6,20,Dar es Salaam,n/a,n/a,n/a,"Stocks lime from Dar es Salaam
Price of fertiliser before Subsidies.
Many farmers buy lime from here.",uuid:a7333f15-9473-4eec-9fe3-86584b203914,TZA_prices_2024-2024-08-26-e01,152229737,a7333f15-9473-4eec-9fe3-86584b203914,2024-08-26T07:25:20.016961+00:00,2024-08-26T07:25:20.118337+00:00,,,1,,,0,0,True,817551
-6.1800035 35.7433443 1113.5999755859375 7.756,-6.1800035,35.7433443,1113.5999755859375,7.756,s1,n/a,e01,n/a,2024-08-26T09:17:00.000+03:00,Dodoma,Dodoma_MC,Madukani,Bara bara ya kumi na mbili,1,Wema,-6.1800125 35.743335 1113.5999755859375 4.911,-6.1800125,35.743335,1113.5999755859375,4.911,1,n/a,0762448167,1,"Premium, stacko, Yara, ETG",2,25000,1,"ETG, Yara , premium",2,40000,1,CAN,3,55000,0,n/a,2,0,0,2,0,20,30,"Morogoro, Dar es Salaam, Minjingu",n/a,n/a,n/a,Prices before Subsidies 3 years ago.,uuid:ad565bdc-e336-4eb8-8d72-917487d3653f,TZA_prices_2024-2024-08-26-e01,152229739,ad565bdc-e336-4eb8-8d72-917487d3653f,2024-08-26T07:25:20.480007+00:00,2024-08-26T07:25:20.570375+00:00,,,1,,,0,0,True,817551
-6.1800823 35.7435034 1113.5 22.781,-6.1800823,35.7435034,1113.5,22.781,s1,n/a,e01,n/a,2024-08-26T09:38:00.000+03:00,Dodoma,Dodoma_MC,n/a,Bara bara ya kumi na mbili,1,Caleb,-6.1800586 35.7434831 1113.5 4.492,-6.1800586,35.7434831,1113.5,4.492,1,n/a,0758437531,1,"ETG, Falcon, Yara",3,120000,1,ETG,3,120000,1,CAN,3,120000,1,Dodoma lime,3,13000,0,2,30,7,30,"Dodoma, Dar es Salaam",n/a,n/a,n/a,"Sells lime from Dodoma.

Fertiliser Price before Subsidy program around 2022 when the war in Ukraine started. Before that 50kg urea was around 50,000.",uuid:754f8e70-2d12-4486-85a4-95f4e0419da9,TZA_prices_2024-2024-08-26-e01,152229744,754f8e70-2d12-4486-85a4-95f4e0419da9,2024-08-26T07:25:21.043201+00:00,2024-08-26T07:25:21.222206+00:00,,,1,,,0,0,True,817551
-6.1808952 35.744336 1111.7999267578125 30.257,-6.1808952,35.744336,1111.7999267578125,30.257,s1,n/a,e01,n/a,2024-08-26T10:02:00.000+03:00,Dodoma,Dodoma_MC,Madukani,Bara bara ya kumi na mbili,1,Allen,-6.1809779 35.7441917 1114.4000244140625 4.941,-6.1809779,35.7441917,1114.4000244140625,4.941,1,n/a,0758160381,1,ETG,3,50000,1,ETG,3,50000,1,CAN,3,50000,0,n/a,2,0,1,2,0,20,30,Dar es Salaam,n/a,n/a,n/a,"Prices before Subsidies around 2018.

Not on subsidy program because of low profit.",uuid:c4003e18-b2a5-47d2-9a05-a7c43c901b1b,TZA_prices_2024-2024-08-26-e01,152229747,c4003e18-b2a5-47d2-9a05-a7c43c901b1b,2024-08-26T07:25:21.621199+00:00,2024-08-26T07:25:21.709095+00:00,,,1,,,0,0,True,817551
-6.3985468 35.7440013 1047.0 19.571,-6.3985468,35.7440013,1047.0,19.571,s1,n/a,e01,n/a,2024-08-26T11:18:00.000+03:00,Dodoma,Dodoma_MC,Mpunguzi,Mpunguzi,1,Khery,-6.3985121 35.7437831 1047.0 4.961,-6.3985121,35.7437831,1047.0,4.961,1,n/a,0757538735,1,"ETG, Yara",3,100000,1,"ETG, YARa",3,120000,1,CAN,3,120000,0,n/a,2,0,1,3,19000,7,3,Dodoma,n/a,n/a,n/a,"Prices before Subsidies 3 years ago. 
Stopped selling after subsidy program.
Knows lime but does not sell.",uuid:1f882daf-157c-4d60-a785-89df339c7011,TZA_prices_2024-2024-08-26-e01,152238321,1f882daf-157c-4d60-a785-89df339c7011,2024-08-26T08:42:04.101294+00:00,2024-08-26T08:42:04.204434+00:00,,,1,,,0,0,True,817551
-6.3991127 35.745167 1051.2999267578125 10.02,-6.3991127,35.745167,1051.2999267578125,10.02,s1,n/a,e01,n/a,2024-08-26T11:28:00.000+03:00,Dodoma,Dodoma_MC,Mpunguzi,Mpunguzi,1,Elidelita,-6.3990295 35.7451952 1051.2999267578125 4.917,-6.3990295,35.7451952,1051.2999267578125,4.917,1,n/a,0785868617,0,n/a,2,0,0,n/a,2,0,0,n/a,2,0,0,n/a,2,0,1,2,0,2,4,n/a,n/a,n/a,n/a,Looks into getting into subsidy program. Has never sold fertiliser or lime.,uuid:42a380e5-fae2-4064-866f-b724896bad27,TZA_prices_2024-2024-08-26-e01,152238323,42a380e5-fae2-4064-866f-b724896bad27,2024-08-26T08:42:04.597445+00:00,2024-08-26T08:42:04.692533+00:00,,,1,,,0,0,True,817551
-7.1123758 35.9714593 679.8662109375 15.419,-7.1123758,35.9714593,679.8662109375,15.419,s1,n/a,e01,n/a,2024-08-26T13:05:00.000+03:00,Dodoma,Mpwapwa_DC,Mtera,Mtera,1,Edna yohana,-7.1123419 35.9714779 721.6099853515625 4.838,-7.1123419,35.9714779,721.6099853515625,4.838,1,n/a,0625273011,0,n/a,2,0,0,n/a,2,0,0,n/a,2,0,0,n/a,2,0,1,3,18500,1,1,n/a,n/a,n/a,n/a,New and only shop in the area.,uuid:ab04618d-332f-4bf4-a8b3-148faa62d8dd,TZA_prices_2024-2024-08-26-e01,152249932,ab04618d-332f-4bf4-a8b3-148faa62d8dd,2024-08-26T11:14:00.127857+00:00,2024-08-26T11:14:00.256356+00:00,,,1,,,0,0,True,817551
